;titulo;valor;data;skill;pais
0;Crie um script no Postgres;Menos de USD 50;21 de Março de 2023 19:00;['SQL', 'Assistente de administração', 'Microsoft Excel', 'Assistente Virtual', 'Sem skills', 'JavaScript', 'MySQL', 'PHP', 'PostgresSQL', 'SQL', 'Sem skills', 'Java', 'Python', 'SQL', 'Design Gráfico', 'Selenium', 'API', 'CSS', 'Database', 'HTML5', 'JavaScript', 'SQL', 'Lojas Virtuais (e-commerce)'];Brasil
1;Desenvolvimento de Power Bi para análise de Dre e Indicadores de Performance;USD 500 - 1.000;21 de Março de 2023 18:22;['SQL', 'Assistente de administração', 'Microsoft Excel', 'Assistente Virtual', 'Sem skills', 'JavaScript', 'MySQL', 'PHP', 'PostgresSQL', 'SQL', 'Sem skills', 'Java', 'Python', 'SQL', 'Design Gráfico', 'Selenium', 'API', 'CSS', 'Database', 'HTML5', 'JavaScript', 'SQL', 'Lojas Virtuais (e-commerce)'];Brasil
2;Configuração de servidor dedicado para site wordpress;USD 100 - 250;19 de Março de 2023 20:17;['SQL', 'Assistente de administração', 'Microsoft Excel', 'Assistente Virtual', 'Sem skills', 'JavaScript', 'MySQL', 'PHP', 'PostgresSQL', 'SQL', 'Sem skills', 'Java', 'Python', 'SQL', 'Design Gráfico', 'Selenium', 'API', 'CSS', 'Database', 'HTML5', 'JavaScript', 'SQL', 'Lojas Virtuais (e-commerce)'];Brasil
3;Analise banco postgresql;USD 1.000 - 3.000;23 de Fevereiro de 2023 14:15;['SQL', 'Assistente de administração', 'Microsoft Excel', 'Assistente Virtual', 'Sem skills', 'JavaScript', 'MySQL', 'PHP', 'PostgresSQL', 'SQL', 'Sem skills', 'Java', 'Python', 'SQL', 'Design Gráfico', 'Selenium', 'API', 'CSS', 'Database', 'HTML5', 'JavaScript', 'SQL', 'Lojas Virtuais (e-commerce)'];Brasil
4;Business inteligence;USD 1.000 - 3.000;20 de Fevereiro de 2023 21:28;['SQL', 'Assistente de administração', 'Microsoft Excel', 'Assistente Virtual', 'Sem skills', 'JavaScript', 'MySQL', 'PHP', 'PostgresSQL', 'SQL', 'Sem skills', 'Java', 'Python', 'SQL', 'Design Gráfico', 'Selenium', 'API', 'CSS', 'Database', 'HTML5', 'JavaScript', 'SQL', 'Lojas Virtuais (e-commerce)'];Brasil
5;Bot de análise de roleta para cassino;USD 500 - 1.000;17 de Fevereiro de 2023 01:20;['SQL', 'Assistente de administração', 'Microsoft Excel', 'Assistente Virtual', 'Sem skills', 'JavaScript', 'MySQL', 'PHP', 'PostgresSQL', 'SQL', 'Sem skills', 'Java', 'Python', 'SQL', 'Design Gráfico', 'Selenium', 'API', 'CSS', 'Database', 'HTML5', 'JavaScript', 'SQL', 'Lojas Virtuais (e-commerce)'];Brasil
6;E-commerce;USD 500 - 1.000;14 de Fevereiro de 2023 13:58;['SQL', 'Assistente de administração', 'Microsoft Excel', 'Assistente Virtual', 'Sem skills', 'JavaScript', 'MySQL', 'PHP', 'PostgresSQL', 'SQL', 'Sem skills', 'Java', 'Python', 'SQL', 'Design Gráfico', 'Selenium', 'API', 'CSS', 'Database', 'HTML5', 'JavaScript', 'SQL', 'Lojas Virtuais (e-commerce)'];Brasil
7;Conexão de bancos e chamadas entre Apis e apps;USD 1.000 - 3.000;23 de Novembro de 2022 20:28;['MySQL', 'Google App Engine', 'Google Cloud Platform', 'Estruturação de Dados', 'Data Warehousing', 'Database', 'PostgresSQL', 'SQL', 'SQL Server', 'Google GSuite', 'MySQL', 'PHP', 'PostgresSQL', 'SQL', 'MySQL', 'Modelagem de Dados', 'SQL', 'JavaScript', 'MySQL', 'PHP', 'SQL', 'MySQL', 'SQL', 'SQL Server', 'JavaScript', '.NET', 'API', 'C#', 'CSS', 'HTML5', 'SQL', 'SQL Server', 'Docker', 'Angular 9', 'Python', 'SQL', 'Data Science', 'Power BI'];Brasil
8;Php Back end - Ler aquivo .csv e .txt e salvar os dados no banco de dados;USD 250 - 500;22 de Novembro de 2022 22:31;['MySQL', 'Google App Engine', 'Google Cloud Platform', 'Estruturação de Dados', 'Data Warehousing', 'Database', 'PostgresSQL', 'SQL', 'SQL Server', 'Google GSuite', 'MySQL', 'PHP', 'PostgresSQL', 'SQL', 'MySQL', 'Modelagem de Dados', 'SQL', 'JavaScript', 'MySQL', 'PHP', 'SQL', 'MySQL', 'SQL', 'SQL Server', 'JavaScript', '.NET', 'API', 'C#', 'CSS', 'HTML5', 'SQL', 'SQL Server', 'Docker', 'Angular 9', 'Python', 'SQL', 'Data Science', 'Power BI'];Brasil
9;Estudo De Caso - Banco De Dados;USD 100 - 250;18 de Novembro de 2022 11:17;['MySQL', 'Google App Engine', 'Google Cloud Platform', 'Estruturação de Dados', 'Data Warehousing', 'Database', 'PostgresSQL', 'SQL', 'SQL Server', 'Google GSuite', 'MySQL', 'PHP', 'PostgresSQL', 'SQL', 'MySQL', 'Modelagem de Dados', 'SQL', 'JavaScript', 'MySQL', 'PHP', 'SQL', 'MySQL', 'SQL', 'SQL Server', 'JavaScript', '.NET', 'API', 'C#', 'CSS', 'HTML5', 'SQL', 'SQL Server', 'Docker', 'Angular 9', 'Python', 'SQL', 'Data Science', 'Power BI'];Brasil
