;titulo;valor;data;skill;pais
0;Crie um script no Postgres;Menos de USD 50;21 de Março de 2023 19:00;['SQL', 'Assistente de administração', 'Microsoft Excel', 'Assistente Virtual'];Brasil
1;Desenvolvimento de Power Bi para análise de Dre e Indicadores de Performance;USD 500 - 1.000;21 de Março de 2023 18:22;['Sem skills'];Brasil
2;Configuração de servidor dedicado para site wordpress;USD 100 - 250;19 de Março de 2023 20:17;['JavaScript', 'MySQL', 'PHP'];Brasil
3;Analise banco postgresql;USD 1.000 - 3.000;23 de Fevereiro de 2023 14:15;['PostgresSQL', 'SQL'];Brasil
4;Business inteligence;USD 1.000 - 3.000;20 de Fevereiro de 2023 21:28;['Sem skills'];Brasil
5;Bot de análise de roleta para cassino;USD 500 - 1.000;17 de Fevereiro de 2023 01:20;['Java', 'Python', 'SQL', 'Design Gráfico', 'Selenium'];Brasil
6;E-commerce;USD 500 - 1.000;14 de Fevereiro de 2023 13:58;['API', 'CSS', 'Database', 'HTML5', 'JavaScript', 'SQL', 'Lojas Virtuais (e-commerce)'];Brasil
7;Conexão de bancos e chamadas entre Apis e apps;USD 1.000 - 3.000;23 de Novembro de 2022 20:28;['MySQL', 'Google App Engine', 'Google Cloud Platform', 'Estruturação de Dados', 'Data Warehousing', 'Database', 'PostgresSQL', 'SQL', 'SQL Server', 'Google GSuite'];Brasil
8;Php Back end - Ler aquivo .csv e .txt e salvar os dados no banco de dados;USD 250 - 500;22 de Novembro de 2022 22:31;['MySQL', 'PHP', 'PostgresSQL', 'SQL'];Brasil
9;Estudo De Caso - Banco De Dados;USD 100 - 250;18 de Novembro de 2022 11:17;['MySQL', 'Modelagem de Dados', 'SQL'];Brasil
10;Busca em tabelas com codigo php;USD 100 - 250;05 de Novembro de 2022 13:18;['JavaScript', 'MySQL', 'PHP', 'SQL'];Brasil
11;Atualizar um banco de dados;USD 100 - 250;04 de Novembro de 2022 16:54;['MySQL', 'SQL', 'SQL Server'];Brasil
12;Desenvolvedor Fullstack Sr (Net/Angular) - Fulltime;USD 1.000 - 3.000;28 de Outubro de 2022 11:08;['JavaScript', '.NET', 'API', 'C#', 'CSS', 'HTML5', 'SQL', 'SQL Server', 'Docker', 'Angular 9'];Brasil
13;Power Bi – Dashbaord.;USD 50 - 100;20 de Outubro de 2022 21:12;['Python', 'SQL', 'Data Science', 'Power BI'];Brasil
14;Sistema Web para Apontamento de Os;USD 500 - 1.000;21 de Agosto de 2022 02:00;['JavaScript', 'MySQL', 'PHP', 'Python', 'SQL', 'Responsive Web Design', 'React.js'];Brasil
15;Realizar querry no sql com python e gravar os dados da consulta no google sheets;USD 100 - 250;29 de Julho de 2022 05:24;['MySQL', 'API', 'Python', 'SQL'];Brasil
16;Programação em C#;USD 1.000 - 3.000;26 de Julho de 2022 18:37;['MySQL', 'API', 'C#', 'CSS', 'HTML', 'SQL', 'Responsive Web Design'];Brasil
17;Dev Ops Ibm Broker;USD 15 - 45 / hora;25 de Julho de 2022 12:59;['JavaScript', 'MySQL', 'PHP', 'SOAP', 'SQL'];Brasil
18;Melhoria em multi thread e query para postgre;USD 100 - 250;14 de Julho de 2022 00:32;['PostgresSQL', 'Python', 'SQL'];Brasil
19;Conexão Api para receber e enviar dados;USD 250 - 500;08 de Julho de 2022 16:24;['JavaScript', 'MySQL', 'PHP', 'API', 'Joomla!', 'Oracle MySQL', 'SQL'];Brasil
20;Manutenção e ajustes em Ssis (Sql Server Integration Services);USD 100 - 250;04 de Julho de 2022 20:44;['SQL', 'SQL Server'];Brasil
21;Dashboard Power Bi;USD 250 - 500;03 de Maio de 2022 16:54;['SQL', 'Power BI'];Brasil
22;Construir Dashboard no Powerbi relacionado a gestão de hora extra e ponto;USD 500 - 1.000;02 de Maio de 2022 19:37;['API', 'Modelagem de Dados', 'Estruturação de Dados', 'Microsoft Azure', 'SQL', 'Power BI'];Brasil
23;Conversão de um código escrito em Matlab para R;USD 500 - 1.000;02 de Maio de 2022 18:22;['MATLAB', 'Python', 'SQL'];Brasil
24;Converter código da linguagem Visual Basic para C#Net;USD 500 - 1.000;30 de Abril de 2022 19:09;['C#', 'Microsoft Visual Studio', 'SQL', 'Visual Basic'];Brasil
25;Extração de dados de um portal;USD 100 - 250;21 de Abril de 2022 19:10;['Python', 'SQL', 'SQL Server'];Brasil
26;Consultas en Google Cloud Sql;Menos de USD 15 / hora;21 de Abril de 2022 14:45;['JavaScript', 'MySQL', 'PHP', 'SQL', 'Google Cloud Platform'];Colômbia
27;Higg_pix;USD 250 - 500;20 de Abril de 2022 21:01;['JavaScript', 'API', 'ASPNET', 'C#', 'SQL', 'VB.NET', 'MySQL', 'PHP'];Brasil
28;Integração de Plataforma Rd Station com Crm Dynamics em ambiente Microsoft;Mais de USD 3.000;31 de Janeiro de 2022 13:20;['.NET', 'API', 'C#', 'Microsoft Dynamics CRM', 'SQL', 'WordPress'];Brasil
29;Dashboard Google Trends-Big Query-Google Data Studio;USD 50 - 100;27 de Janeiro de 2022 19:22;['Data Warehousing', 'MySQL', 'PostgresSQL', 'SQL', 'Big Data'];Brasil
30;Criar um layout de dashboard;USD 100 - 250;25 de Janeiro de 2022 12:33;['JavaScript', 'MySQL', 'PHP', 'Oracle MySQL', 'SQL', 'Power BI'];Brasil
31;"Criação de curso em texto de ""Fundamentos de bancos de dados relacionais""";USD 250 - 500;22 de Janeiro de 2022 06:23;['Database', 'SQL'];Brasil
32;Desenvolvimento Sql + Power Bi;USD 100 - 250;18 de Janeiro de 2022 14:56;['SQL', 'SQL Server', 'Power BI'];Brasil
33;Exame sql;USD 100 - 250;14 de Janeiro de 2022 01:01;['SQL', 'SQL Server'];Portugal
34;Gerenciar acessos Git;USD 250 - 500;10 de Janeiro de 2022 17:42;['Python', 'SQL', 'Microsoft Excel', 'Git', 'Shell Scripting'];Brasil
35;Manutenção sistema Php;USD 100 - 250;12 de Outubro de 2021 15:11;['JavaScript', 'MySQL', 'PHP', 'HTML', 'jQuery', 'SQL', 'Git'];Brasil
36;Aplicativo de Interação Social;USD 1.000 - 3.000;11 de Outubro de 2021 18:36;['Android', 'iOS', 'iPhone', 'JavaScript', 'MySQL', 'Node.js', 'SQL', 'Responsive Web Design', 'React.js', 'React Native'];Brasil
37;Sqlpara  Qgis;USD 100 - 250;07 de Outubro de 2021 14:46;['SQL', 'Qgis'];Brasil
38;Banco de Dados Access;USD 100 - 250;06 de Outubro de 2021 19:31;['HTML5', 'MySQL', 'PHP', 'Microsoft Access', 'SQL', 'VBA'];Brasil
39;Desenvolvimento de processos operacionais em Python, Sql e Vba.;Mais de USD 3.000;01 de Outubro de 2021 16:48;['Microsoft Excel', 'Análise Financeira', 'Database', 'Python', 'SQL', 'Gestão de Operações'];Brasil
40;Criar Programa para Gerenciar Empresa Em Vba;USD 250 - 500;19 de Setembro de 2021 12:41;['SQL', 'VBA', 'Microsoft Access', 'Microsoft Visual Studio', 'VB.NET', 'Visual Basic', 'C', 'C#', 'MySQL', 'HTML5', 'PHP'];Brasil
41;Migração dados do sistema de folha de pagamento Domínio;USD 250 - 500;17 de Setembro de 2021 17:48;['SQL'];Brasil
42;Migração de Sistema Web;USD 500 - 1.000;16 de Junho de 2021 16:26;['JavaScript', 'PHP', 'C#', 'HTML', 'Python', 'SQL'];Brasil
43;Desenvolvedor Full Stack;USD 1.000 - 3.000;14 de Junho de 2021 12:54;['PostgresSQL', 'Python', 'SQL', 'React.js'];Brasil
44;Correção de um bug (Linguagem C#;USD 100 - 250;01 de Junho de 2021 14:08;['C#', 'JavaScript', 'SQL'];Brasil
45;Sistema de Compra em Excel utilizando Query, Power Query e Sql;USD 100 - 250;27 de Maio de 2021 20:30;['SQL', 'VBA', 'Microsoft Excel', 'Firebird'];Brasil
46;Planilha de consolidação de dados;USD 50 - 100;26 de Maio de 2021 15:34;['MySQL', 'SQL', 'Microsoft Excel', 'Microsoft Access'];Brasil
47;Desenvolver a camada de modelos de um sistema de arquivos persistido em um banco de dados Sql;USD 250 - 500;26 de Maio de 2021 13:30;['MySQL', 'Java', 'SQL'];Brasil
48;Big query e data studio;USD 15 - 45 / hora;24 de Maio de 2021 14:57;['MySQL', 'CSS', 'Estruturação de Dados', 'Data Warehousing', 'Database', 'SQL', 'Google Analytics', 'Interpretação dos dados', 'Google Cloud Platform'];Brasil
49;Questor - contabil e Fiscal - interface;USD 250 - 500;10 de Março de 2021 17:34;['SQL', 'Firebird'];Brasil
