;titulo;valor;data;skill;pais
0;Criação de logo animado e vinheta pra canal de youtube;USD 100 - 250;23 de Março de 2023 13:13;['Design Gráfico', 'Ilustração', 'Adobe Illustrator', 'Animação', 'Identidade de marca corporativa', 'Social Media Marketing'];Brasil
1;Editor de vídeo contínuo;USD 100 - 250;22 de Março de 2023 20:14;['Adobe After Effects', 'Adobe Premiere', 'Edição de vídeo'];Brasil
2;O Time de Talentos da Workana está em busca dos melhores .Net Developers;Mais de USD 45 / hora;23 de Março de 2023 16:43;['.NET'];Argentina
3;Assistente de Marketing;USD 250 - 500;23 de Março de 2023 13:19;['Escrita de artigos', 'Inglês'];Estados Unidos
4;Implementação de Chatbot Ia com integração no Whatsapp;USD 250 - 500;22 de Março de 2023 15:57;['JavaScript', 'MySQL', 'PHP', 'API', 'Java', 'Node.js', 'Python'];Brasil
5;[Estudo de Mercado] Edição de Vídeo para Minicurso;Menos de USD 50;23 de Março de 2023 16:53;['Adobe After Effects', 'Adobe Premiere', 'Edição de vídeo'];Brasil
6;Profissional de marketing digital para captação de leads;USD 15 - 45 / hora;23 de Março de 2023 16:50;['Facebook', 'Google AdWords', 'Marketing Online', 'Marketing', 'Social Media Marketing'];Brasil
7;Desenvolvimento de linha editorial, design e artes para mídias sociais e documentos de apoio;USD 100 - 250;23 de Março de 2023 16:49;['Design Gráfico', 'Adobe Illustrator', 'Adobe Photoshop'];Brasil
8;Landinpage para produto de emagrecimento;Menos de USD 50;23 de Março de 2023 16:49;['CSS', 'HTML', 'Responsive Web Design'];Brasil
9;Estudo de Viabilidade Técnica Econômica e Financeira;USD 50 - 100;23 de Março de 2023 14:55;['Microsoft Excel', 'Análise Financeira', 'Management'];Brasil
10;Criação de vídeo apresentando um brinquedo e seus personagens;USD 250 - 500;23 de Março de 2023 14:18;['Adobe After Effects', 'Adobe Premiere', 'Edição de vídeo', 'Edição', 'Animação', 'Edição de audio', 'Design Gráfico'];Brasil
11;O Time de Talentos da Workana está em busca dos melhores .Net Developers;Mais de USD 45 / hora;23 de Março de 2023 16:43;['.NET'];Argentina
12;Assistente de Marketing;USD 250 - 500;23 de Março de 2023 13:19;['Escrita de artigos', 'Inglês'];Estados Unidos
13;Implementação de Chatbot Ia com integração no Whatsapp;USD 250 - 500;22 de Março de 2023 15:57;['JavaScript', 'MySQL', 'PHP', 'API', 'Java', 'Node.js', 'Python'];Brasil
14;[Estudo de Mercado] Edição de Vídeo para Minicurso;Menos de USD 50;23 de Março de 2023 16:53;['Adobe After Effects', 'Adobe Premiere', 'Edição de vídeo'];Brasil
15;Profissional de marketing digital para captação de leads;USD 15 - 45 / hora;23 de Março de 2023 16:50;['Facebook', 'Google AdWords', 'Marketing Online', 'Marketing', 'Social Media Marketing'];Brasil
16;Desenvolvimento de linha editorial, design e artes para mídias sociais e documentos de apoio;USD 100 - 250;23 de Março de 2023 16:49;['Design Gráfico', 'Adobe Illustrator', 'Adobe Photoshop'];Brasil
17;Landinpage para produto de emagrecimento;Menos de USD 50;23 de Março de 2023 16:49;['CSS', 'HTML', 'Responsive Web Design'];Brasil
